Time    Source  Destination PacketType  FlitID  PacketID    FlitPosition    IsHead  IsTail  
0       10      1           ANY         0       0           0/0             1       1       
2       10      1           ANY         1       1           0/0             1       1       
3       10      1           ANY         2       2           0/0             1       1       
5       10      1           ANY         3       3           0/0             1       1       
6       10      1           ANY         4       4           0/0             1       1       
8       10      1           ANY         5       5           0/0             1       1       
9       10      1           ANY         6       6           0/0             1       1       
11      10      1           ANY         7       7           0/0             1       1       
12      10      1           ANY         8       8           0/0             1       1       
14      10      1           ANY         9       9           0/0             1       1       
16      10      1           ANY         10      10          0/0             1       1       
17      10      1           ANY         11      11          0/0             1       1       
19      10      1           ANY         12      12          0/0             1       1       
20      10      1           ANY         13      13          0/0             1       1       
22      10      38          ANY         14      14          0/0             1       1       
23      10      38          ANY         15      15          0/0             1       1       
25      10      38          ANY         16      16          0/0             1       1       
27      10      38          ANY         17      17          0/0             1       1       
28      10      38          ANY         18      18          0/0             1       1       
30      10      38          ANY         19      19          0/0             1       1       
31      10      38          ANY         20      20          0/0             1       1       
33      10      38          ANY         21      21          0/0             1       1       
34      10      38          ANY         22      22          0/0             1       1       
36      10      38          ANY         23      23          0/0             1       1       
38      10      38          ANY         24      24          0/0             1       1       
39      10      38          ANY         25      25          0/0             1       1       
41      10      38          ANY         26      26          0/0             1       1       
42      10      38          ANY         27      27          0/0             1       1       
44      10      39          ANY         28      28          0/0             1       1       
45      10      39          ANY         29      29          0/0             1       1       
47      10      39          ANY         30      30          0/0             1       1       
48      10      39          ANY         31      31          0/0             1       1       
50      10      39          ANY         32      32          0/0             1       1       
52      10      39          ANY         33      33          0/0             1       1       
53      10      39          ANY         34      34          0/0             1       1       
55      10      39          ANY         35      35          0/0             1       1       
56      10      39          ANY         36      36          0/0             1       1       
58      10      39          ANY         37      37          0/0             1       1       
59      10      39          ANY         38      38          0/0             1       1       
61      10      39          ANY         39      39          0/0             1       1       
62      10      39          ANY         40      40          0/0             1       1       
64      10      39          ANY         41      41          0/0             1       1       
66      10      40          ANY         42      42          0/0             1       1       
67      10      40          ANY         43      43          0/0             1       1       
69      10      40          ANY         44      44          0/0             1       1       
70      10      40          ANY         45      45          0/0             1       1       
72      10      40          ANY         46      46          0/0             1       1       
73      10      40          ANY         47      47          0/0             1       1       
75      10      40          ANY         48      48          0/0             1       1       
77      10      40          ANY         49      49          0/0             1       1       
78      10      40          ANY         50      50          0/0             1       1       
80      10      40          ANY         51      51          0/0             1       1       
81      10      40          ANY         52      52          0/0             1       1       
